"transaction_id,customer_id,customer_name,product_id,price,product_name,category,purchase_location,city,transaction_date,quantity,payment_method,discount,email,phone,payment_status,Year,Month,Quarter,Day,masked_email,masked_phone,Revenue,Discount_Loss"
"1,642,Troy Mitchell,108,15000.0,Mixer grinder,Home Appliances,offline,Bangalore,2025-12-06,3,UPI,0.1,Troy60@gmail.com,8385276968,successful,2025,December,4,6,Tr*****@gmail.com,83******68,40500.0,4500.0"
"2,881,Sarah Guerrero,102,70000.0,Phone,Electronics,online,Bangalore,2025-07-21,5,Card,0.35,SarahGuerrero@yahoo.com,7147248911,successful,2025,July,3,21,Sa*****@yahoo.com,71******11,227500.0,122499.99999999999"
"3,505,Samantha Hull,109,65000.0,Refrigerator,Home Appliances,offline,Chennai,2025-07-11,2,UPI,0.05,SamanthaHull@outlook.com,7415321565,successful,2025,July,3,11,Sa*****@outlook.com,74******65,123500.0,6500.0"
"4,794,Gerald Cooper,106,80000.0,sofa,Furniture,offline,Chennai,2025-10-06,2,UPI,0.05,GeraldCooper@gmail.com,9739354201,successful,2025,October,4,6,Ge*****@gmail.com,97******01,152000.0,8000.0"
"5,864,Cameron Black,108,15000.0,Mixer grinder,Home Appliances,offline,Chennai,2025-12-12,1,Cash,0.05,CameronBlack@yahoo.com,9938169477,successful,2025,December,4,12,Ca*****@yahoo.com,99******77,14250.0,750.0"
"6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,successful,2025,July,3,25,Ma*****@gmail.com,87******17,812500.0,437500.0"
"6,181,Maria Robinson,101,250000.0,laptop,Electronics,online,Delhi,2025-07-25,5,NetBanking,0.35,MariaRobinson@gmail.com,8794772717,failed,2025,July,3,25,Ma*****@gmail.com,87******17,812500.0,437500.0"
"7,142,Charles Brown,101,250000.0,laptop,Electronics,online,Hyderabad,2026-03-03,2,UPI,0.05,Charles7@gmail.com,9980826322,successful,2026,March,1,3,Ch*****@gmail.com,99******22,475000.0,25000.0"
"8,457,Cathy Harris,102,70000.0,phone,Electronics,online,Hyderabad,2026-02-19,1,Card,0.05,Cathy90@gmail.com,8396657576,successful,2026,February,1,19,Ca*****@gmail.com,83******76,66500.0,3500.0"
"9,749,Linda Lara,110,45000.0,Microwave,Home Appliances,offline,Mumbai,2025-08-30,3,Card,0.3,LindaLara@outlook.com,7476164201,successful,2025,August,3,30,Li*****@outlook.com,74******01,94500.0,40500.0"
"10,146,Jose Thomas,102,70000.0,PHONE,Electronics,offline,Bangalore,2025-12-16,2,UPI,0.4,JoseThomas@outlook.com,8398779963,successful,2025,December,4,16,Jo*****@outlook.com,83******63,84000.0,56000.0"
"11,946,Lisa Cochran,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-15,4,Card,0.3,LisaCochran@gmail.com,8354440319,successful,2025,December,4,15,Li*****@gmail.com,83******19,22400.0,9600.0"
"12,757,Yvette Clark,106,80000.0,SOFA,Furniture,online,Hyderabad,2025-06-30,3,UPI,0.25,YvetteClark@gmail.com,6025126334,successful,2025,June,2,30,Yv*****@gmail.com,60******34,180000.0,60000.0"
"13,838,Susan Torres,109,65000.0,REFRIGERATOR,Home Appliances,offline,Chennai,2025-06-14,5,Cash,0.35,SusanTorres@outlook.com,8776486426,successful,2025,June,2,14,Su*****@outlook.com,87******26,211250.0,113750.0"
"14,117,Brent Clark,109,65000.0,refrigerator,Home Appliances,offline,Delhi,2026-02-24,5,Card,0.2,BrentClark@gmail.com,9054087598,successful,2026,February,1,24,Br*****@gmail.com,90******98,260000.0,65000.0"
"15,923,George Wilkinson,109,65000.0,refrigerator,Home Appliances,online,Mumbai,2026-01-31,5,UPI,0.25,GeorgeWilkinson@gmail.com,6517059222,successful,2026,January,1,31,Ge*****@gmail.com,65******22,243750.0,81250.0"
"16,765,Eric Gaines,104,8000.0,SHOES,Clothing,offline,Bangalore,2025-08-20,5,NetBanking,0.15,EricGaines@yahoo.com,7665911327,successful,2025,August,3,20,Er*****@yahoo.com,76******27,34000.0,6000.0"
"17,570,Donald Carter,102,70000.0,phone,Electronics,offline,Chennai,2025-05-19,3,NetBanking,0.15,Donald21@gmail.com,7944230219,successful,2025,May,2,19,Do*****@gmail.com,79******19,178500.0,31500.0"
"18,973,Allen Gilbert,108,15000.0,Mixer grinder,Home Appliances,offline,Mumbai,2025-05-15,2,Card,0.15,AllenGilbert@outlook.com,7543149731,successful,2025,May,2,15,Al*****@outlook.com,75******31,25500.0,4500.0"
"19,786,Jeremiah Simmons,103,1300.0,SHIRT,Clothing,offline,Chennai,2025-09-07,4,Cash,0.2,JeremiahSimmons@outlook.com,7139465116,successful,2025,September,3,7,Je*****@outlook.com,71******16,4160.0,1040.0"
"20,576,Angela Weiss,104,8000.0,SHOES,Clothing,online,Delhi,2025-07-05,1,Card,0.15,AngelaWeiss@yahoo.com,6433163539,successful,2025,July,3,5,An*****@yahoo.com,64******39,6800.0,1200.0"
"21,256,Nicole Williams,109,65000.0,REFRIGERATOR,Home Appliances,online,Chennai,2025-12-10,3,UPI,0.05,Nicole72@gmail.com,9261161732,successful,2025,December,4,10,Ni*****@gmail.com,92******32,185250.0,9750.0"
"22,737,Kimberly Lloyd,109,65000.0,REFRIGERATOR,Home Appliances,online,Delhi,2025-03-11,4,UPI,0.4,KimberlyLloyd@gmail.com,6053522093,successful,2025,March,1,11,Ki*****@gmail.com,60******93,156000.0,104000.0"
"23,104,Amanda Castillo,108,15000.0,Mixer grinder,Home Appliances,online,Hyderabad,2026-04-15,2,UPI,0.25,AmandaCastillo@yahoo.com,9259539548,successful,2026,April,2,15,Am*****@yahoo.com,92******48,22500.0,7500.0"
"24,799,Stephanie Dunn,108,15000.0,Mixer grinder,Home Appliances,offline,Delhi,2025-05-16,3,Cash,0.25,StephanieDunn@gmail.com,7485500744,successful,2025,May,2,16,St*****@gmail.com,74******44,33750.0,11250.0"
"25,249,Alyssa Henderson,102,70000.0,Phone,Electronics,online,Bangalore,2025-08-29,1,Card,0.3,Alyssa98@gmail.com,9956125109,successful,2025,August,3,29,Al*****@gmail.com,99******09,49000.0,21000.0"
"26,149,Ashley Mejia,106,80000.0,sofa,Furniture,offline,Chennai,2026-01-28,1,Cash,0.05,AshleyMejia@outlook.com,6877766443,successful,2026,January,1,28,As*****@outlook.com,68******43,76000.0,4000.0"
"27,927,Bradley Sparks,105,45000.0,Tv,Electronics,offline,Chennai,2025-11-13,5,UPI,0.2,BradleySparks@gmail.com,8246590514,successful,2025,November,4,13,Br*****@gmail.com,82******14,180000.0,45000.0"
"28,868,Timothy Henderson,107,50000.0,DINING TABLE,Furniture,offline,Hyderabad,2025-11-12,1,Card,0.3,Timothy78@gmail.com,6565238386,successful,2025,November,4,12,Ti*****@gmail.com,65******86,35000.0,15000.0"
"29,1,Karen Pollard,109,65000.0,Refrigerator,Home Appliances,online,Hyderabad,2025-06-28,2,Card,0.3,KarenPollard@yahoo.com,7148256363,successful,2025,June,2,28,Ka*****@yahoo.com,71******63,91000.0,39000.0"
"30,980,Alexis Andrews,106,80000.0,sofa,Furniture,online,Delhi,2025-07-10,5,Card,0.05,Alexis8@gmail.com,9601673841,successful,2025,July,3,10,Al*****@gmail.com,96******41,380000.0,20000.0"
"31,455,Morgan Wright,107,50000.0,DINING TABLE,Furniture,offline,Bangalore,2025-06-03,4,NetBanking,0.3,MorganWright@yahoo.com,9826454087,successful,2025,June,2,3,Mo*****@yahoo.com,98******87,140000.0,60000.0"
"32,367,Joshua Tate,105,45000.0,Tv,Electronics,offline,Delhi,2025-11-14,4,Cash,0.4,JoshuaTate@outlook.com,9891343716,successful,2025,November,4,14,Jo*****@outlook.com,98******16,108000.0,72000.0"
"34,968,Keith Davis,107,50000.0,dining table,Furniture,offline,Hyderabad,2025-11-09,4,Cash,0.15,KeithDavis@yahoo.com,6310144512,successful,2025,November,4,9,Ke*****@yahoo.com,63******12,170000.0,30000.0"
"35,390,Erika Knight,110,45000.0,MICROWAVE,Home Appliances,online,Mumbai,2025-05-25,2,Card,0.1,Erika14@gmail.com,8802577025,successful,2025,May,2,25,Er*****@gmail.com,88******25,81000.0,9000.0"
"36,528,Kerri Rodriguez,102,70000.0,Phone,Electronics,offline,Chennai,2025-07-19,2,NetBanking,0.1,Kerri90@gmail.com,7758070493,successful,2025,July,3,19,Ke*****@gmail.com,77******93,126000.0,14000.0"
"37,46,Mallory Boyd,103,1300.0,Shirt,Clothing,offline,Delhi,2026-01-07,3,UPI,0.1,Mallory7@gmail.com,6910302449,successful,2026,January,1,7,Ma*****@gmail.com,69******49,3510.0,390.0"
"38,437,Carrie Landry,104,8000.0,SHOES,Clothing,offline,Delhi,2026-01-21,1,Cash,0.25,CarrieLandry@outlook.com,9913542206,successful,2026,January,1,21,Ca*****@outlook.com,99******06,6000.0,2000.0"
"39,234,Kristin Taylor,104,8000.0,Shoes,Clothing,offline,Delhi,2025-12-01,1,Cash,0.1,KristinTaylor@outlook.com,6166223410,successful,2025,December,4,1,Kr*****@outlook.com,61******10,7200.0,800.0"
"40,391,Catherine Beard,103,1300.0,SHIRT,Clothing,offline,Mumbai,2026-08-03,2,NetBanking,0.3,Catherine33@gmail.com,9225547305,successful,2026,August,3,3,Ca*****@gmail.com,92******05,1819.9999999999998,780.0"
"41,743,Dorothy Davis,103,1300.0,shirt,Clothing,online,Delhi,2025-12-22,3,NetBanking,0.1,DorothyDavis@yahoo.com,8478683600,successful,2025,December,4,22,Do*****@yahoo.com,84******00,3510.0,390.0"
"42,17,Duane Hall,105,45000.0,TV,Electronics,online,Bangalore,2025-07-11,2,Cash,0.3,DuaneHall@outlook.com,7467001149,successful,2025,July,3,11,Du*****@outlook.com,74******49,62999.99999999999,27000.0"
"43,861,Tim Brock,105,45000.0,TV,Electronics,offline,Bangalore,2025-05-26,5,Card,0.4,TimBrock@outlook.com,8893431491,successful,2025,May,2,26,Ti*****@outlook.com,88******91,135000.0,90000.0"
